user_id,cohort,ability_group,personality,ability,courses_completed,gpa_4,retake_credits,improvement_credits,academic_classification
1392646,13,KHA,LUOI,6.988,55,2.245,11,0,TRUNG_BINH
1300565,13,GIOI,BINH_THUONG,7.983,55,3.255,0,0,GIOI
1308484,13,GIOI,BINH_THUONG,8.258,55,3.449,0,0,GIOI
1316403,13,KHA,BINH_THUONG,7.412,54,2.944,0,0,KHA
1324322,13,KHA,BINH_THUONG,7.139,55,2.626,0,0,TRUNG_BINH_KHA
1332241,13,KHA,LUOI,7.72,55,2.759,0,0,TRUNG_BINH_KHA
1340160,13,TRUNG_BINH,LUOI,5.393,19,1.676,71,0,YEU
1348079,13,KHA,HOAN_CANH_KHO_KHAN,7.304,55,2.34,0,0,TRUNG_BINH
1355998,13,GIOI,BINH_THUONG,8.145,55,3.333,0,0,GIOI
1363917,13,TRUNG_BINH,CHAM,4.908,49,2.301,25,0,TRUNG_BINH
1371836,13,GIOI,HOAN_CANH_KHO_KHAN,8.511,55,3.207,0,0,GIOI
1379755,13,GIOI,BINH_THUONG,8.467,55,3.524,0,0,GIOI
1387674,13,KHA,BINH_THUONG,6.97,55,2.541,0,0,TRUNG_BINH_KHA
1395593,13,DROPOUT,CHAM,3.0,2,1.5,86,0,YEU
1303512,13,GIOI,HOAN_CANH_KHO_KHAN,8.504,54,3.208,0,0,GIOI
1311431,13,KHA,BINH_THUONG,7.174,55,2.626,0,0,TRUNG_BINH_KHA
1319350,13,GIOI,CHAM,7.983,55,3.986,0,0,XUAT_SAC
1327269,13,GIOI,BINH_THUONG,8.246,55,3.425,0,0,GIOI
1335188,13,KHA,BINH_THUONG,7.12,55,2.663,0,0,TRUNG_BINH_KHA
1343107,13,KHA,CHAM,7.079,55,3.656,0,0,XUAT_SAC
1351026,13,KHA,BINH_THUONG,7.309,55,2.779,0,0,TRUNG_BINH_KHA
1358945,13,KHA,CHAM,6.8,55,3.452,0,0,GIOI
1366864,13,GIOI,BINH_THUONG,8.009,55,3.235,0,0,GIOI
1374783,13,KHA,HOAN_CANH_KHO_KHAN,7.416,55,2.374,0,0,TRUNG_BINH
1382702,13,KHA,BINH_THUONG,7.348,55,2.762,0,0,TRUNG_BINH_KHA
1390621,13,KHA,LUOI,7.616,55,2.65,0,0,TRUNG_BINH_KHA
1398540,13,GIOI,BINH_THUONG,8.527,54,3.545,0,0,GIOI
1306459,13,GIOI,BINH_THUONG,8.54,55,3.599,0,0,GIOI
1314378,13,DROPOUT,BINH_THUONG,3.0,0,0.0,86,0,YEU
1322297,13,GIOI,CHAM,8.182,55,4.0,0,0,XUAT_SAC
1330216,13,TRUNG_BINH,BINH_THUONG,5.215,26,1.841,81,0,YEU
1338135,13,KHA,BINH_THUONG,7.191,55,2.701,0,0,TRUNG_BINH_KHA
1346054,13,TRUNG_BINH,LUOI,5.356,17,1.788,71,0,YEU
1353973,13,KHA,CHAM,7.663,55,3.932,0,0,XUAT_SAC
1361892,13,GIOI,CHAM,8.289,54,3.993,0,0,XUAT_SAC
1369811,13,KHA,CHAM,6.837,55,3.483,0,0,GIOI
1377730,13,GIOI,CHAM,8.335,55,4.0,0,0,XUAT_SAC
1385649,13,TRUNG_BINH,BINH_THUONG,6.382,51,2.077,38,0,TRUNG_BINH
1393568,13,TRUNG_BINH,CHAM,6.025,55,2.929,28,0,KHA
1301487,13,KHA,BINH_THUONG,7.854,54,3.243,0,0,GIOI
1309406,13,KHA,CHAM,6.91,55,3.568,0,0,GIOI
1317325,13,GIOI,BINH_THUONG,8.119,55,3.299,0,0,GIOI
1325244,13,KHA,CHAM,7.408,55,3.799,0,0,XUAT_SAC
1333163,13,KHA,LUOI,7.436,55,2.537,0,0,TRUNG_BINH_KHA
1341082,13,KHA,LUOI,7.268,55,2.565,4,0,TRUNG_BINH_KHA
1349001,13,KHA,HOAN_CANH_KHO_KHAN,6.923,55,2.296,4,0,TRUNG_BINH
1356920,13,KHA,CHAM,7.197,55,3.622,0,0,XUAT_SAC
1364839,13,TRUNG_BINH,CHAM,5.932,55,2.82,40,0,KHA
1372758,13,GIOI,BINH_THUONG,8.344,55,3.398,0,0,GIOI
1380677,13,KHA,LUOI,6.8,55,2.214,6,0,TRUNG_BINH
1388596,13,KHA,BINH_THUONG,7.009,55,2.531,0,0,TRUNG_BINH_KHA
1396515,13,KHA,BINH_THUONG,7.203,55,2.84,0,0,KHA
1304434,13,GIOI,CHAM,8.317,55,4.0,0,0,XUAT_SAC
1312353,13,KHA,BINH_THUONG,7.386,54,2.899,0,0,KHA
1320272,13,KHA,BINH_THUONG,7.45,55,2.888,0,0,KHA
1328191,13,GIOI,BINH_THUONG,8.139,55,3.299,0,0,GIOI
1336110,13,DROPOUT,HOAN_CANH_KHO_KHAN,3.0,0,0.0,77,0,YEU
1344029,13,KHA,BINH_THUONG,6.892,55,2.52,0,0,TRUNG_BINH_KHA
1351948,13,GIOI,CHAM,8.605,55,4.0,0,0,XUAT_SAC
1359867,13,KHA,CHAM,7.717,55,3.952,0,0,XUAT_SAC
1367786,13,KHA,HOAN_CANH_KHO_KHAN,7.766,55,2.748,0,0,TRUNG_BINH_KHA
1375705,13,TRUNG_BINH,LUOI,5.599,28,1.831,74,0,YEU
1383624,13,KHA,CHAM,7.421,54,3.875,0,0,XUAT_SAC
1391543,13,KHA,CHAM,7.226,55,3.745,0,0,XUAT_SAC
1399462,13,KHA,BINH_THUONG,7.091,55,2.565,0,0,TRUNG_BINH_KHA
1307381,13,KHA,CHAM,7.174,55,3.602,0,0,XUAT_SAC
1315300,13,KHA,CHAM,7.267,55,3.728,0,0,XUAT_SAC
1323219,13,DROPOUT,HOAN_CANH_KHO_KHAN,3.0,0,0.0,86,0,YEU
1331138,13,KHA,CHAM,7.327,55,3.745,0,0,XUAT_SAC
1339057,13,KHA,CHAM,7.109,55,3.711,0,0,XUAT_SAC
1346976,13,DROPOUT,BINH_THUONG,3.0,0,0.0,83,0,YEU
1354895,13,KHA,BINH_THUONG,7.4,54,2.854,0,0,KHA
1362814,13,KHA,CHAM,7.736,55,3.969,0,0,XUAT_SAC
1370733,13,KHA,BINH_THUONG,7.595,55,3.048,0,0,KHA
1378652,13,GIOI,CHAM,8.423,55,4.0,0,0,XUAT_SAC
1386571,13,TRUNG_BINH,BINH_THUONG,6.62,55,2.218,13,0,TRUNG_BINH
1394490,13,TRUNG_BINH,LUOI,5.436,22,1.787,91,0,YEU
1302409,13,GIOI,HOAN_CANH_KHO_KHAN,7.715,55,2.697,0,0,TRUNG_BINH_KHA
1310328,13,KHA,CHAM,7.278,55,3.816,0,0,XUAT_SAC
1318247,13,KHA,BINH_THUONG,7.303,55,2.871,0,0,KHA
1326166,13,KHA,LUOI,7.432,55,2.412,4,0,TRUNG_BINH_KHA
1334085,13,KHA,CHAM,7.243,55,3.626,0,0,XUAT_SAC
1342004,13,KHA,BINH_THUONG,6.836,55,2.551,0,0,TRUNG_BINH_KHA
1349923,13,KHA,CHAM,7.374,55,3.793,0,0,XUAT_SAC
1357842,13,KHA,BINH_THUONG,7.619,55,2.925,0,0,KHA
1365761,13,KHA,LUOI,6.8,55,2.214,5,0,TRUNG_BINH
1373680,13,KHA,BINH_THUONG,6.957,55,2.643,0,0,TRUNG_BINH_KHA
1381599,13,KHA,HOAN_CANH_KHO_KHAN,7.105,55,2.214,4,0,TRUNG_BINH
1389518,13,KHA,BINH_THUONG,7.066,55,2.571,0,0,TRUNG_BINH_KHA
1397437,13,GIOI,BINH_THUONG,8.543,55,3.571,0,0,GIOI
1305356,13,KHA,CHAM,7.198,55,3.728,0,0,XUAT_SAC
1313275,13,KHA,HOAN_CANH_KHO_KHAN,7.484,54,2.458,3,0,TRUNG_BINH_KHA
1321194,13,KHA,HOAN_CANH_KHO_KHAN,7.141,55,2.367,11,0,TRUNG_BINH
1329113,13,KHA,BINH_THUONG,7.172,55,2.779,0,0,TRUNG_BINH_KHA
1337032,13,KHA,BINH_THUONG,7.109,55,2.765,0,0,TRUNG_BINH_KHA
1344951,13,KHA,CHAM,7.503,55,3.789,0,0,XUAT_SAC
1352870,13,KHA,BINH_THUONG,7.332,54,2.858,0,0,KHA
1360789,13,KHA,BINH_THUONG,7.088,55,2.65,0,0,TRUNG_BINH_KHA
1368708,13,GIOI,BINH_THUONG,7.965,55,3.303,0,0,GIOI
1376627,13,KHA,CHAM,7.177,55,3.616,0,0,XUAT_SAC
1384546,13,GIOI,BINH_THUONG,8.17,55,3.367,0,0,GIOI
1392465,13,KHA,LUOI,7.645,54,2.663,0,0,TRUNG_BINH_KHA
1300384,13,KHA,BINH_THUONG,7.436,55,2.915,0,0,KHA
1308303,13,KHA,BINH_THUONG,7.397,55,2.857,0,0,KHA
1316222,13,KHA,LUOI,7.597,55,2.49,0,0,TRUNG_BINH_KHA
1324141,13,GIOI,CHAM,8.458,55,4.0,0,0,XUAT_SAC
1332060,13,DROPOUT,HOAN_CANH_KHO_KHAN,3.0,0,0.0,89,0,YEU
1339979,13,KHA,HOAN_CANH_KHO_KHAN,7.152,55,2.327,2,0,TRUNG_BINH
1347898,13,KHA,CHAM,7.439,55,3.82,0,0,XUAT_SAC
1355817,13,GIOI,BINH_THUONG,7.686,55,3.061,0,0,KHA
1363736,13,GIOI,BINH_THUONG,8.536,55,3.486,0,0,GIOI
1371655,13,GIOI,CHAM,8.492,55,4.0,0,0,XUAT_SAC
1379574,13,GIOI,BINH_THUONG,8.54,55,3.49,0,0,GIOI
1387493,13,GIOI,BINH_THUONG,8.282,55,3.408,0,0,GIOI
1395412,13,GIOI,LUOI,7.664,55,2.653,2,0,TRUNG_BINH_KHA
1303331,13,GIOI,BINH_THUONG,8.789,55,3.701,0,0,XUAT_SAC
1311250,13,KHA,BINH_THUONG,7.251,54,2.781,0,0,TRUNG_BINH_KHA
1319169,13,KHA,HOAN_CANH_KHO_KHAN,7.484,54,2.58,4,0,TRUNG_BINH_KHA
1327088,13,KHA,BINH_THUONG,7.571,55,3.075,0,0,KHA
1335007,13,GIOI,BINH_THUONG,7.874,55,3.095,0,0,KHA
1342926,13,KHA,CHAM,7.274,55,3.707,0,0,XUAT_SAC
1350845,13,KHA,LUOI,7.599,55,2.769,4,0,TRUNG_BINH_KHA
1358764,13,GIOI,HOAN_CANH_KHO_KHAN,8.24,55,2.942,0,0,KHA
1366683,13,KHA,CHAM,7.209,55,3.636,0,0,XUAT_SAC
1374602,13,KHA,BINH_THUONG,7.287,55,2.711,0,0,TRUNG_BINH_KHA
1382521,13,KHA,BINH_THUONG,7.51,55,2.878,0,0,KHA
1390440,13,KHA,BINH_THUONG,7.212,55,2.554,0,0,TRUNG_BINH_KHA
1398359,13,GIOI,LUOI,7.793,55,2.772,0,0,TRUNG_BINH_KHA
1306278,13,KHA,LUOI,7.914,55,2.793,0,0,TRUNG_BINH_KHA
1314197,13,KHA,BINH_THUONG,7.184,55,2.643,0,0,TRUNG_BINH_KHA
1322116,13,KHA,LUOI,7.121,54,2.229,0,0,TRUNG_BINH
1330035,13,GIOI,LUOI,8.303,55,3.02,0,0,KHA
1337954,13,KHA,BINH_THUONG,7.701,55,3.187,0,0,KHA
1345873,13,KHA,CHAM,7.337,55,3.816,0,0,XUAT_SAC
1353792,13,KHA,CHAM,7.56,54,3.896,0,0,XUAT_SAC
1361711,13,GIOI,LUOI,8.146,55,2.952,0,0,KHA
1369630,13,KHA,BINH_THUONG,7.352,55,2.864,0,0,KHA
1377549,13,KHA,BINH_THUONG,7.623,55,2.969,0,0,KHA
1385468,13,KHA,BINH_THUONG,6.993,55,2.52,0,0,TRUNG_BINH_KHA
1393387,13,GIOI,BINH_THUONG,8.228,54,3.441,0,0,GIOI
1301306,13,KHA,CHAM,7.42,55,3.793,0,0,XUAT_SAC
1309225,13,GIOI,BINH_THUONG,8.354,55,3.48,0,0,GIOI
1317144,13,KHA,BINH_THUONG,7.272,55,2.759,0,0,TRUNG_BINH_KHA
1325063,13,KHA,HOAN_CANH_KHO_KHAN,7.525,55,2.667,0,0,TRUNG_BINH_KHA
1332982,13,GIOI,CHAM,8.078,54,3.99,0,0,XUAT_SAC
1340901,13,GIOI,CHAM,8.209,55,4.0,0,0,XUAT_SAC
1348820,13,GIOI,LUOI,8.672,55,3.306,0,0,GIOI
1356739,13,GIOI,CHAM,8.209,55,3.98,0,0,XUAT_SAC
1364658,13,KHA,BINH_THUONG,7.27,55,2.81,0,0,KHA
1372577,13,KHA,BINH_THUONG,7.449,55,2.85,0,0,KHA
1380496,13,KHA,CHAM,7.108,55,3.735,0,0,XUAT_SAC
1388415,13,KHA,HOAN_CANH_KHO_KHAN,7.53,55,2.602,4,0,TRUNG_BINH_KHA
1396334,13,KHA,CHAM,7.75,55,3.983,0,0,XUAT_SAC
1304253,13,KHA,BINH_THUONG,6.962,55,2.602,4,0,TRUNG_BINH_KHA
1312172,13,KHA,LUOI,7.34,55,2.452,1,0,TRUNG_BINH_KHA
1320091,13,KHA,BINH_THUONG,7.129,54,2.767,0,0,TRUNG_BINH_KHA
1328010,13,KHA,LUOI,7.231,55,2.303,0,0,TRUNG_BINH
1335929,13,GIOI,BINH_THUONG,8.395,55,3.452,0,0,GIOI
1343848,13,KHA,BINH_THUONG,7.81,55,3.214,0,0,GIOI
1351767,13,KHA,CHAM,7.295,55,3.735,0,0,XUAT_SAC
1359686,13,KHA,CHAM,7.369,55,3.854,0,0,XUAT_SAC
1367605,13,KHA,CHAM,7.26,54,3.736,0,0,XUAT_SAC
1375524,13,GIOI,BINH_THUONG,8.366,55,3.476,0,0,GIOI
1383443,13,KHA,CHAM,7.168,55,3.735,0,0,XUAT_SAC
1391362,13,XUAT_SAC,LUOI,8.245,55,3.01,0,0,KHA
1399281,13,TRUNG_BINH,BINH_THUONG,5.045,32,1.669,61,0,YEU
1307200,13,KHA,LUOI,7.516,55,2.432,0,0,TRUNG_BINH_KHA
1315119,13,KHA,CHAM,7.76,55,3.963,0,0,XUAT_SAC
1323038,13,KHA,LUOI,6.8,55,2.153,8,0,TRUNG_BINH
1330957,13,KHA,BINH_THUONG,7.571,55,2.84,0,0,KHA
1338876,13,KHA,BINH_THUONG,7.415,55,2.84,0,0,KHA
1346795,13,GIOI,BINH_THUONG,8.608,55,3.602,0,0,XUAT_SAC
1354714,13,KHA,CHAM,7.421,54,3.861,0,0,XUAT_SAC
1362633,13,GIOI,CHAM,8.184,55,3.986,0,0,XUAT_SAC
1370552,13,GIOI,BINH_THUONG,8.228,55,3.48,0,0,GIOI
1378471,13,GIOI,BINH_THUONG,8.221,55,3.514,0,0,GIOI
1386390,13,KHA,BINH_THUONG,7.656,55,2.898,0,0,KHA
1394309,13,KHA,BINH_THUONG,7.51,55,2.956,0,0,KHA
1302228,13,KHA,BINH_THUONG,7.46,55,2.895,0,0,KHA
1310147,13,KHA,BINH_THUONG,7.484,55,2.83,0,0,KHA
1318066,13,KHA,CHAM,7.504,54,3.896,0,0,XUAT_SAC
1325985,13,KHA,BINH_THUONG,7.425,55,2.864,0,0,KHA
1333904,13,GIOI,CHAM,8.299,55,3.997,0,0,XUAT_SAC
1341823,13,GIOI,LUOI,8.403,55,3.0,0,0,KHA
1349742,13,KHA,BINH_THUONG,7.71,55,3.054,0,0,KHA
1357661,13,KHA,CHAM,7.326,55,3.701,0,0,XUAT_SAC
1365580,13,KHA,BINH_THUONG,7.557,55,2.99,0,0,KHA
1373499,13,TRUNG_BINH,BINH_THUONG,5.283,33,1.742,61,0,YEU
1381418,13,KHA,BINH_THUONG,7.167,54,2.674,0,0,TRUNG_BINH_KHA
1389337,13,KHA,BINH_THUONG,6.914,55,2.432,0,0,TRUNG_BINH_KHA
1397256,13,KHA,CHAM,7.542,55,3.861,0,0,XUAT_SAC
1305175,13,KHA,HOAN_CANH_KHO_KHAN,7.372,55,2.476,0,0,TRUNG_BINH_KHA
1313094,13,KHA,CHAM,6.893,55,3.524,0,0,GIOI
1321013,13,KHA,CHAM,7.183,55,3.745,0,0,XUAT_SAC
1328932,13,GIOI,LUOI,8.576,55,3.201,0,0,GIOI
1336851,13,GIOI,CHAM,8.438,55,3.993,0,0,XUAT_SAC
1344770,13,GIOI,BINH_THUONG,8.285,55,3.493,0,0,GIOI
1352689,13,KHA,LUOI,7.262,55,2.473,0,0,TRUNG_BINH_KHA
