course_id,course_name,credits,course_category,quiz,lab,btl,giua_ky,cuoi_ky,nguon
CH1003,Hóa đại cương,3,toan_ly_hoa,0,20,0,30,50,tao_tu_quy_tac_tin_chi
CO1005,Nhập môn Điện toán,3,khac,0,30,20,0,50,tao_tu_quy_tac_tin_chi
CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO1023,Hệ thống số,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO1027,Kỹ thuật Lập trình,3,khac,0,10,20,20,50,tao_tu_quy_tac_tin_chi
CO2001,Kỹ năng Chuyên nghiệp cho Kỹ sư,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO2007,Kiến trúc Máy tính,4,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO2011,Mô hình hóa Toán học,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO2013,Hệ cơ sở Dữ liệu,4,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO2017,Hệ điều hành,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO2039,Lập trình Nâng cao,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3001,Công nghệ Phần mềm,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3005,Nguyên lý Ngôn ngữ Lập trình,4,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3011,Quản lý Dự án Phần mềm,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3013,Xây dựng Chương trình Dịch,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3015,Kiểm tra Phần mềm,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3017,Kiến trúc Phần mềm,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3023,Cơ sở Dữ liệu Phân tán và Hướng đối tượng,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3027,Thương mại Điện tử,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3029,Khai phá Dữ liệu,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3031,Phân tích và Thiết kế Giải Thuật,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3033,Bảo mật Hệ thống Thông tin,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3035,Hệ thời gian thực,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3037,Phát triển Ứng dụng Internet of Things,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3041,Hệ thống Thông minh,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3043,Phát triển Ứng dụng trên Thiết bị Di động,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3045,Lập trình Game,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3047,Mạng máy tính nâng cao,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3049,Lập trình Web,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3051,Hệ thống thiết bị di động,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3057,Xử lý Ảnh số và Thị giác Máy tính,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3059,Đồ họa Máy tính,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3061,Nhập môn Trí tuệ Nhân tạo,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3065,Công nghệ Phần mềm Nâng cao,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3067,Tính toán Song song,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3069,Mật mã và An ninh mạng,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3071,Hệ phân bố,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3083,Mật mã học và Mã hóa Thông tin,3,khac,0,20,20,0,60,tao_tu_quy_tac_tin_chi
CO3085,Xử lý Ngôn ngữ Tự nhiên,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3089,Những Chủ đề Nâng cao trong Khoa học Máy tính,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3093,Mạng máy tính,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
CO3101,Đồ án Tổng hợp - Hướng Trí tuệ Nhân tạo,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3103,Đồ án Tổng hợp - hướng Công nghệ Phần mềm,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3105,Đồ án Tổng hợp - Hướng Hệ thống Thông tin,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mềm,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,khac,0,0,20,20,60,tao_tu_quy_tac_tin_chi
CO3115,Phân tích và Thiết kế Hệ thống,3,khac,10,0,20,20,50,tao_tu_quy_tac_tin_chi
CO3117,Học máy,3,khac,0,0,20,30,50,tao_tu_quy_tac_tin_chi
