course_id,course_code,course_name,credits,course_group
1,CH1003,Hóa đại cương,3,NON_ELECTIVE
2,CO1005,Nhập môn Điện toán,3,NON_ELECTIVE
3,CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,NON_ELECTIVE
4,CO1023,Hệ thống số,3,NON_ELECTIVE
5,CO1027,Kỹ thuật Lập trình,3,NON_ELECTIVE
6,CO2001,Kỹ năng Chuyên nghiệp cho Kỹ sư,3,NON_ELECTIVE
7,CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,NON_ELECTIVE
8,CO2007,Kiến trúc Máy tính,4,NON_ELECTIVE
9,CO2011,Mô hình hóa Toán học,3,NON_ELECTIVE
10,CO2013,Hệ cơ sở Dữ liệu,4,NON_ELECTIVE
11,CO2017,Hệ điều hành,3,NON_ELECTIVE
12,CO2039,Lập trình Nâng cao,3,NON_ELECTIVE
13,CO3001,Công nghệ Phần mềm,3,NON_ELECTIVE
14,CO3005,Nguyên lý Ngôn ngữ Lập trình,4,NON_ELECTIVE
15,CO3011,Quản lý Dự án Phần mềm,3,ELECTIVE_GROUP_C
16,CO3013,Xây dựng Chương trình Dịch,3,ELECTIVE_GROUP_C
17,CO3015,Kiểm tra Phần mềm,3,ELECTIVE_GROUP_C
18,CO3017,Kiến trúc Phần mềm,3,ELECTIVE_GROUP_C
19,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,ELECTIVE_GROUP_C
20,CO3023,Cơ sở Dữ liệu Phân tán và Hướng đối tượng,3,ELECTIVE_GROUP_C
21,CO3027,Thương mại Điện tử,3,ELECTIVE_GROUP_C
22,CO3029,Khai phá Dữ liệu,3,ELECTIVE_GROUP_C
23,CO3031,Phân tích và Thiết kế Giải Thuật,3,ELECTIVE_GROUP_C
24,CO3033,Bảo mật Hệ thống Thông tin,3,ELECTIVE_GROUP_C
25,CO3035,Hệ thời gian thực,3,ELECTIVE_GROUP_C
26,CO3037,Phát triển Ứng dụng Internet of Things,3,ELECTIVE_GROUP_C
27,CO3041,Hệ thống Thông minh,3,ELECTIVE_GROUP_C
28,CO3043,Phát triển Ứng dụng trên Thiết bị Di động,3,ELECTIVE_GROUP_C
29,CO3045,Lập trình Game,3,ELECTIVE_GROUP_C
30,CO3047,Mạng máy tính nâng cao,3,ELECTIVE_GROUP_C
31,CO3049,Lập trình Web,3,ELECTIVE_GROUP_C
32,CO3051,Hệ thống thiết bị di động,3,ELECTIVE_GROUP_C
33,CO3057,Xử lý Ảnh số và Thị giác Máy tính,3,ELECTIVE_GROUP_C
34,CO3059,Đồ họa Máy tính,3,ELECTIVE_GROUP_C
35,CO3061,Nhập môn Trí tuệ Nhân tạo,3,ELECTIVE_GROUP_C
36,CO3065,Công nghệ Phần mềm Nâng cao,3,ELECTIVE_GROUP_C
37,CO3067,Tính toán Song song,3,ELECTIVE_GROUP_C
38,CO3069,Mật mã và An ninh mạng,3,ELECTIVE_GROUP_C
39,CO3071,Hệ phân bố,3,ELECTIVE_GROUP_C
40,CO3083,Mật mã học và Mã hóa Thông tin,3,ELECTIVE_GROUP_C
41,CO3085,Xử lý Ngôn ngữ Tự nhiên,3,ELECTIVE_GROUP_C
42,CO3089,Những Chủ đề Nâng cao trong Khoa học Máy tính,3,ELECTIVE_GROUP_C
43,CO3093,Mạng máy tính,3,NON_ELECTIVE
