course_prerequisite_id,course_code,related_course_code,relation_type
1,MT1005,MT1003,KN
2,MT2013,MT1007,KN
3,CO2011,CO1007,KN
4,SP1033,SP1031,KN
5,SP1035,SP1033,KN
6,SP1037,SP1039,KN
7,SP1039,SP1035,KN
8,CO2001,CO1005,TQ
9,LA1005,LA1003,TQ
10,LA1007,LA1005,TQ
11,LA1009,LA1007,TQ
12,CO2003,CO1027,KN
13,CO2003,CO1007,KN
14,CO2007,CO1005,KN
15,PE1005,PE1003,HT
16,CO3001,CO1027,KN
17,CO3005,CO1027,TQ
18,CO3021,CO2013,KN
19,CO3033,CO2013,KN
20,CO4031,CO2013,KN
21,CO4035,CO2013,KN
22,CO3137,CO2017,KN
23,CO3015,CO3001,KN
24,CO3015,CO1027,TQ
25,CO3041,CO3001,TQ
26,CO3133,CO3061,KN
27,CO3135,CO2003,TQ
28,CO3135,CO1027,TQ
29,CO3031,CO2003,HT
30,CO4029,CO3335,SHT
31,CO4337,CO3335,TQ
32,CO4337,CO4029,TQ
